loan_id,risk_band,predicted_default_proba,proba_pctile_in_band,principal,loan_type_clean,state
L15556-799288,Low,0.09999941264195672,1.0,86603.83,credit_line,AL 
L61886-408268,Low,0.09997867584905298,0.99999319167478,95106.99,home_equity,
L27226-554717,Low,0.09997147552933873,0.9999863833495598,71640.57,small_business,VT
L70379-451407,Low,0.09997081194732357,0.9999795750243398,79872.33,small_business,MO
L67659-446857,Low,0.09996950465739539,0.9999727666991197,54493.02,credit_line,WA
L56013-498025,Low,0.09996793666433675,0.9999659583738996,72342.83,credit_line,DC
L2692-180475,Low,0.09995647263934741,0.9999591500486795,77747.81,credit_line,NC
L45655-120958,Low,0.09995143628659109,0.9999523417234595,85130.23,credit_line,CA
L55804-178389,Low,0.09995039415342895,0.9999455333982393,49405.62,small_business,OH
L23828-571886,Low,0.09994478156635463,0.9999387250730193,55369.1,home_equity,WI
L9666-28354,Low,0.09994043377756728,0.9999319167477992,58016.17,home_equity,CA
L1575-450017,Low,0.09993143422370057,0.9999251084225791,61315.92,home_equity,WI
L93504-842953,Low,0.09992092049654293,0.999918300097359,57283.7,credit_line,fl
L46929-614184,Low,0.09991583014499236,0.999911491772139,56428.5,credit_line,GU
L96909-850329,Low,0.09991545899472928,0.9999046834469189,50453.66,home_equity,OR
L98521-445335,Low,0.09991147415056136,0.9998978751216988,129071.67,credit_line,OH
L55462-903129,Low,0.09989635208049595,0.9998910667964788,75874.16,credit_line,HI
L55653-820658,Low,0.09986915866513385,0.9998842584712586,62203.57,home_equity,AK
L21195-384295,Low,0.09985394564942164,0.9998774501460386,71322.78,home_equity,CT
L23906-804747,Low,0.09984406350631587,0.9998706418208185,66572.68,home_equity,AR
L31251-945725,Low,0.09982716447916953,0.9998638334955984,74109.1,home_equity,LA
L46804-786362,Low,0.09982513007561496,0.9998570251703783,71428.92,home_equity,MH
L22613-236613,Low,0.09982361607986238,0.9998502168451583,65533.83,auto,IL
L53634-450856,Low,0.09981907818233637,0.9998434085199381,0.0,credit_line,WA
L4585-719363,Low,0.09981137677053953,0.9998366001947181,62349.18,auto,NM
L39928-217169,Low,0.09981035731402221,0.999829791869498,55983.51,home_equity,NV
L49108-66055,Low,0.09980788223265177,0.9998229835442779,91617.8,auto,PA
L60907-93382,Low,0.0998043876020711,0.9998161752190579,74070.05,credit_line,WY
L1908-61960,Low,0.09980039060045763,0.9998093668938378,63011.49,credit_line,FL
L18956-115960,Low,0.09978172852100835,0.9998025585686177,64219.3,credit_line,MT
L16769-643411,Low,0.09977016700655815,0.9997957502433976,60743.92,credit_line,NE
L45149-128298,Low,0.09976186717288979,0.9997889419181776,75442.59,credit_line,FL
L89689-844548,Low,0.09975959616920987,0.9997821335929574,68331.14,home_equity,OH
L90509-448237,Low,0.09975384138169895,0.9997753252677374,69023.52,credit_line,MP
L7370-135857,Low,0.09974695373267084,0.9997685169425173,105403.42,credit_line,CO
L1861-253336,Low,0.09974571381941652,0.9997617086172972,80163.75,auto,DC
L93506-620386,Low,0.09974212146447403,0.9997549002920771,73242.22,home_equity,IA
L73599-104271,Low,0.09974127076061594,0.9997480919668571,64775.65,credit_line,ID
L13190-457051,Low,0.09973500384332627,0.999741283641637,71626.85,home_equity,ND
L53989-222667,Low,0.09972581353470311,0.9997344753164169,70903.44,auto,ID
L23191-530310,Low,0.09971242559652121,0.9997276669911969,75533.88,home_equity,AR
L5259-309744,Low,0.09969971008079273,0.9997208586659767,79135.29,credit_line,WI
L15996-515081,Low,0.09969916179421343,0.9997140503407567,53662.92,home_equity,
L21696-316056,Low,0.09967904871104767,0.9997072420155366,67243.65,credit_line,CO
L92277-23317,Low,0.09967450755744588,0.9997004336903165,74676.53,credit_line,HI
L87410-686442,Low,0.09967423930224997,0.9996936253650964,53191.6,credit_line,Ia
L68229-964398,Low,0.09966774902431716,0.9996868170398764,77163.5,credit_line,VT
L5514-556169,Low,0.09965450547401572,0.9996800087146562,95977.78,credit_line,NM
L73636-384521,Low,0.09962239348193937,0.9996697962268262,65796.12,home_equity,DE
L73636-384521,Low,0.09962239348193937,0.9996697962268262,65796.12,home_equity,DE
L81197-282207,Low,0.09960973396661871,0.999659583738996,46755.61,credit_line,NY
L54385-947689,Low,0.09960701992802937,0.999652775413776,77845.02,small_business,PR
L7376-363006,Low,0.09960677695764282,0.9996459670885559,76088.9,home_equity,ia
L23054-463009,Low,0.099588703877772,0.9996391587633358,77529.87,credit_line,WA
L52840-436510,Low,0.09957963765870873,0.9996323504381157,80650.25,auto,LA
L39824-987650,Low,0.09956855601125283,0.9996255421128957,52432.62,home_equity,NY
L26585-137503,Low,0.09956487539343374,0.9996187337876755,66109.24,credit_line,MN
L27556-717507,Low,0.09956116594249391,0.9996119254624555,77736.93,credit_line,CT
L2325-36296,Low,0.09955127395942515,0.9996051171372354,77596.04,credit_line,MP
L13453-983199,Low,0.0995459284993189,0.9995983088120153,73029.65,credit_line,PW
L29641-765109,Low,0.0995346996610719,0.9995915004867952,70621.28,credit_line,WV
L60391-849642,Low,0.09953075627502615,0.9995846921615752,76550.92,credit_line,ME
L57335-695382,Low,0.09952602119932832,0.999577883836355,126531.07,home_equity,GU
L56193-301040,Low,0.09951625301174394,0.999571075511135,56967.67,small_business,NJ
L52700-978878,Low,0.09951523908492463,0.999564267185915,55991.38,home_equity,ME
L92711-26784,Low,0.09950535488131548,0.9995574588606948,55991.64,credit_line,UT
L31836-678803,Low,0.09950135792864502,0.9995506505354748,61192.51,credit_line,MS
L6983-413694,Low,0.0995005954831906,0.9995438422102547,54342.21,credit_line,MT
L93945-109538,Low,0.09949071778175929,0.9995370338850346,55478.95,credit_line,VT
L28627-616945,Low,0.09948761468265223,0.9995302255598145,77840.57,home_equity,NJ
L61794-745736,Low,0.0994863138317214,0.9995234172345945,57442.58,credit_line,VI
L22508-905818,Low,0.09948260545756331,0.9995166089093744,75808.97,home_equity,VT
L85115-785448,Low,0.09947956842675054,0.9995098005841543,57282.47,home_equity, PR
L65614-187923,Low,0.09947769207087248,0.9995029922589342,44786.86,credit_line,AR
L72465-949982,Low,0.09947276440286602,0.9994961839337142,74630.73,credit_line,VI
L44188-898139,Low,0.09945864200170954,0.999489375608494,70011.62,credit_line,MA
L33136-121362,Low,0.09945775647823175,0.999482567283274,63639.96,credit_line,VT
L14692-874950,Low,0.09944278490437036,0.999475758958054,42129.09,home_equity,AK
L60267-733288,Low,0.09943493237647365,0.9994689506328338,69586.09,home_equity,FM
L50392-689702,Low,0.09943465103378274,0.9994621423076138,45093.39,small_business,FL
L70487-890928,Low,0.09942224920980769,0.9994553339823937,67415.99,home_equity,RI
L9738-331989,Low,0.09942215049470227,0.9994485256571736,62724.59,credit_line,KS
L23961-467613,Low,0.0994195224261289,0.9994417173319535,52011.88,home_equity,WA
L97469-589442,Low,0.09941704924731498,0.9994349090067335,85301.9,home_equity,MT
L11199-360020,Low,0.09941677083767457,0.9994281006815133,55539.91,credit_line,VA 
L18289-906389,Low,0.09941584910736462,0.9994212923562933,60741.92,credit_line,IL
L83674-252007,Low,0.09941375649766035,0.9994144840310732,71477.6,credit_line,ME
L65645-227174,Low,0.09941326144602178,0.9994076757058531,58576.42,credit_line,NM
L22604-178852,Low,0.09938825058140843,0.999400867380633,60344.94,credit_line,SD
L27162-799321,Low,0.09938026466894073,0.999394059055413,77674.17,home_equity,SC
L13315-202275,Low,0.0993778204462996,0.9993872507301929,58985.42,credit_line,ME
L64036-613474,Low,0.0993765269708661,0.9993804424049728,73755.6,credit_line,AK
L75457-879468,Low,0.09937565770305774,0.9993736340797528,89768.78,credit_line, DE
L61152-230313,Low,0.09937477199531132,0.9993668257545326,82198.14,auto,NE
L42713-499012,Low,0.09937375174619704,0.9993600174293126,53451.9,auto,OK
L10874-868601,Low,0.09937281483996813,0.9993532091040925,79635.11,home_equity,SC
L62726-651886,Low,0.0993564278668522,0.9993464007788724,81460.58,home_equity,ID 
L39394-717563,Low,0.09934879075847838,0.9993395924536523,66511.14,credit_line,PR
L80212-671469,Low,0.09934728615459111,0.9993327841284323,77017.05,credit_line,NE
L70710-746634,Low,0.09934567738072488,0.9993259758032121,56486.04,auto,AS
L83123-503054,Low,0.09934039588129524,0.9993191674779921,65625.56,credit_line,MS
L64212-574395,Low,0.09933296493222356,0.9993123591527721,66413.21,home_equity,PW
